date,winner,loser,winner_score,loser_score
"['2021', '10', '19']",LA Clippers,Brooklyn,120,116
"['2021', '10', '19']",Detroit,San Antonio,117,116
"['2021', '10', '20']",Denver,Houston,124,111
"['2021', '10', '20']",Milwaukee,New Orleans,136,113
"['2021', '10', '20']",Golden State,Utah,123,116
"['2021', '10', '20']",Chicago,Washington,120,119
"['2021', '10', '20']",Boston,Orlando,116,111
"['2021', '10', '20']",Phoenix,Charlotte,133,99
"['2021', '10', '20']",Cleveland,Indiana,108,104
"['2021', '10', '20']",LA Lakers,Minnesota,108,103
"['2021', '10', '20']",Dallas,Oklahoma City,95,86
"['2021', '10', '20']",Sacramento,Miami,115,113
"['2021', '10', '20']",Toronto,New York,120,105
"['2021', '10', '21']",Memphis,Brooklyn,118,104
"['2021', '10', '21']",Chicago,Orlando,102,98
"['2021', '10', '21']",Dallas,Denver,103,89
"['2021', '10', '22']",Golden State,Miami,115,108
"['2021', '10', '22']",Minnesota,LA Clippers,122,104
"['2021', '10', '22']",Detroit,Milwaukee,115,106
"['2021', '10', '22']",Utah,New Orleans,115,104
"['2021', '10', '22']",Philadelphia,Houston,133,113
"['2021', '10', '22']",Portland,Atlanta,136,131
"['2021', '10', '22']",Washington,Charlotte,124,121
"['2021', '10', '22']",Memphis,Cleveland,110,106
"['2021', '10', '22']",LA Lakers,Sacramento,122,114
"['2021', '10', '22']",Phoenix,New Orleans,123,110
"['2021', '10', '23']",New York,Indiana,104,94
"['2021', '10', '23']",Toronto,San Antonio,129,104
"['2021', '10', '23']",San Antonio,Boston,99,97
"['2021', '10', '23']",Charlotte,Detroit,140,111
"['2021', '10', '23']",Dallas,Golden State,99,82
"['2021', '10', '23']",Utah,Denver,115,109
"['2021', '10', '23']",Brooklyn,Indiana,129,121
"['2021', '10', '23']",Toronto,Milwaukee,117,111
"['2021', '10', '24']",Minnesota,Oklahoma City,98,90
"['2021', '10', '24']",Philadelphia,Orlando,116,106
"['2021', '10', '24']",Miami,Portland,115,109
"['2021', '10', '24']",Atlanta,Sacramento,108,102
"['2021', '10', '24']",Houston,Washington,114,111
"['2021', '10', '24']",Memphis,Detroit,118,88
"['2021', '10', '25']",New Orleans,Golden State,101,96
"['2021', '10', '25']",New York,Boston,108,105
"['2021', '10', '25']",Phoenix,LA Clippers,106,89
"['2021', '10', '25']",Milwaukee,Brooklyn,121,109
"['2021', '10', '25']",Chicago,Washington,130,122
"['2021', '10', '25']",Denver,Sacramento,121,111
"['2021', '10', '25']",Dallas,Houston,130,106
"['2021', '10', '25']",LA Lakers,Atlanta,134,118
"['2021', '10', '25']",Minnesota,Oklahoma City,135,105
"['2021', '10', '26']",Philadelphia,San Antonio,119,100
"['2021', '10', '26']",Cleveland,Portland,114,101
"['2021', '10', '26']",Toronto,Utah,122,108
"['2021', '10', '26']",Boston,New York,99,75
"['2021', '10', '26']",Charlotte,Milwaukee,114,106
"['2021', '10', '27']",Detroit,Orlando,97,92
"['2021', '10', '27']",Indiana,Utah,125,113
"['2021', '10', '27']",Memphis,LA Clippers,123,108
"['2021', '10', '27']",Miami,Phoenix,123,100
"['2021', '10', '27']",Brooklyn,San Antonio,121,119
"['2021', '10', '27']",Dallas,Chicago,113,99
"['2021', '10', '27']",Golden State,Cleveland,96,82
"['2021', '10', '27']",Minnesota,Houston,141,123
"['2021', '10', '27']",LA Clippers,Atlanta,106,93
"['2021', '10', '27']",Memphis,LA Lakers,127,119
"['2021', '10', '28']",Denver,Oklahoma City,99,95
"['2021', '10', '28']",Washington,Orlando,102,100
"['2021', '10', '28']",Portland,Sacramento,103,88
"['2021', '10', '28']",Toronto,New Orleans,105,101
"['2021', '10', '28']",Boston,Indiana,101,98
"['2021', '10', '28']",Charlotte,Milwaukee,103,99
"['2021', '10', '29']",Detroit,Utah,126,116
"['2021', '10', '29']",Philadelphia,Houston,111,91
"['2021', '10', '29']",New York,San Antonio,111,96
"['2021', '10', '29']",Portland,Brooklyn,114,108
"['2021', '10', '29']",Cleveland,Sacramento,109,108
"['2021', '10', '29']",Chicago,Detroit,133,87
"['2021', '10', '29']",LA Clippers,Denver,87,85
"['2021', '10', '30']",Memphis,Golden State,116,108
"['2021', '10', '30']",New Orleans,Minnesota,128,125
"['2021', '10', '30']",Phoenix,Toronto,99,95
"['2021', '10', '30']",Washington,Oklahoma City,122,118
"['2021', '10', '30']",Miami,Atlanta,115,91
"['2021', '10', '30']",Brooklyn,Chicago,138,112
"['2021', '10', '30']",Boston,Indiana,119,100
"['2021', '10', '30']",New York,Dallas,108,85
"['2021', '10', '30']",Charlotte,Philadelphia,109,98
"['2021', '10', '30']",Sacramento,LA Lakers,125,116
"['2021', '10', '30']",Houston,San Antonio,128,124
"['2021', '10', '31']",Cleveland,Utah,111,91
"['2021', '10', '31']",Washington,Orlando,112,106
