date,winner,loser,winner_score,loser_score
"['2021', '01', '01']",Atlanta,Brooklyn,114,96
"['2021', '01', '01']",Memphis,Charlotte,108,93
"['2021', '01', '01']",Dallas,Miami,93,83
"['2021', '01', '01']",Phoenix,Denver,106,103
"['2021', '01', '01']",Detroit,Boston,96,93
"['2021', '01', '01']",Portland,Golden State,123,98
"['2021', '01', '01']",Milwaukee,Chicago,126,96
"['2021', '01', '01']",Washington,Minnesota,130,109
"['2021', '01', '01']",LA Lakers,San Antonio,109,103
"['2021', '01', '01']",Utah,LA Clippers,106,100
"['2021', '01', '02']",Cleveland,Atlanta,96,91
"['2021', '01', '02']",Houston,Sacramento,102,94
"['2021', '01', '02']",New York,Indiana,106,102
"['2021', '01', '02']",New Orleans,Toronto,120,116
"['2021', '01', '02']",Oklahoma City,Orlando,108,99
"['2021', '01', '02']",Philadelphia,Charlotte,127,112
"['2021', '01', '03']",Washington,Brooklyn,123,122
"['2021', '01', '03']",Chicago,Dallas,118,108
"['2021', '01', '03']",Boston,Detroit,122,120
"['2021', '01', '03']",Golden State,Portland,137,122
"['2021', '01', '03']",LA Lakers,Memphis,108,94
"['2021', '01', '03']",Denver,Minnesota,124,109
"['2021', '01', '03']",LA Clippers,Phoenix,112,107
"['2021', '01', '03']",Utah,San Antonio,130,109
"['2021', '01', '04']",New York,Atlanta,113,108
"['2021', '01', '04']",Golden State,Sacramento,137,106
"['2021', '01', '04']",Dallas,Houston,113,100
"['2021', '01', '04']",Miami,Oklahoma City,118,90
"['2021', '01', '04']",Milwaukee,Detroit,125,115
"['2021', '01', '04']",Indiana,New Orleans,118,116
"['2021', '01', '04']",Orlando,Cleveland,103,83
"['2021', '01', '04']",Philadelphia,Charlotte,118,101
"['2021', '01', '04']",Boston,Toronto,126,114
"['2021', '01', '05']",Brooklyn,Utah,130,96
"['2021', '01', '05']",Denver,Minnesota,123,116
"['2021', '01', '05']",San Antonio,LA Clippers,116,113
"['2021', '01', '05']",LA Lakers,Memphis,94,92
"['2021', '01', '05']",Chicago,Portland,111,108
"['2021', '01', '06']",Charlotte,Atlanta,102,94
"['2021', '01', '06']",LA Clippers,Golden State,108,101
