year,team,off_rtg,def_rtg,efg,reb_diff
2021,ATL,115.7,113.3,0.539,2.8999999999999986
2021,BOS,114.0,112.5,0.543,1.7999999999999972
2021,BRK,118.3,113.8,0.575,1.2999999999999972
2021,CHO,110.9,112.8,0.532,-1.4000000000000057
2021,CHI,111.1,112.0,0.547,2.8999999999999986
2021,CLE,105.8,114.4,0.508,-0.9000000000000057
2021,DAL,115.4,113.0,0.55,-0.6000000000000014
2021,DEN,117.1,112.1,0.557,3.1999999999999957
2021,DET,108.0,112.5,0.519,-1.5999999999999943
2021,GSW,111.1,110.1,0.551,-4.299999999999997
2021,HOU,107.1,114.9,0.521,-5.0
2021,IND,112.4,112.4,0.542,-4.099999999999994
2021,LAC,117.6,111.2,0.564,3.0
2021,LAL,109.9,107.1,0.536,2.200000000000003
2021,MEM,112.0,111.0,0.528,1.7999999999999972
2021,MIA,111.2,111.2,0.546,-1.3999999999999986
2021,MIL,117.2,111.4,0.566,4.700000000000003
2021,MIN,109.5,115.0,0.52,-2.299999999999997
2021,NOP,113.5,113.8,0.537,5.600000000000001
2021,NYK,110.6,108.2,0.524,1.0
2021,OKC,103.5,114.0,0.509,-1.5
2021,ORL,105.1,114.5,0.49,-2.0
2021,PHI,113.2,107.6,0.541,2.200000000000003
2021,PHO,117.2,111.3,0.564,0.19999999999999574
2021,POR,117.8,116.0,0.54,-0.8999999999999986
2021,SAC,113.6,117.2,0.549,-3.8000000000000043
2021,SAS,111.0,112.8,0.517,-3.5
2021,TOR,112.0,112.5,0.529,-4.299999999999997
2021,UTA,117.6,108.3,0.563,5.699999999999996
2021,WAS,111.2,113.0,0.531,-0.8999999999999986
